"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1958,"Bill Russell","C","6-10","215","Boston Celtics","Eastern All-Star Fan Vote Selection","1956 Rnd 1 Pick 2","United States"
1958,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1958,"Kenny Sears","F","6-9","198","New York Knicks","Eastern All-Star Coaches Selection","1953 Rnd 15 Pick 2","United States"
1958,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 Rnd 2 Pick 5","United States"
1958,"Larry Foust","FC","6-9","215","Minneapolis Lakers","Western All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1958,"Dick Garmaker","GF","6-3","200","Minneapolis Lakers","Western All-Star Fan Vote Selection","1954 Rnd 9 Pick 8","United States"
1958,"Cliff Hagan","GF","6-4","210","St. Louis Hawks","Western All-Star Coaches Selection","1953 Rnd 3 Pick 6","United States"
1958,"Slater Martin","PG","5-10","170","St. Louis Hawks","Western All-Star Fan Vote Selection","1949 Rnd 3 Pick 11","United States"
1958,"Dick McGuire","G","6-0","180","Detroit Pistons","Western All-Star Coaches Selection","1949 Rnd 1 Pick 8","United States"
1958,"Bob Pettit","FC","6-9","205","St. Louis Hawks","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 2","United States"
1958,"Gene Shue","G","6-2","170","Detroit Pistons","Western All-Star Coaches Selection","1954 Rnd 1 Pick 3","United States"
1958,"Maurice Stokes","FC","6-7","232","Cincinnati Royals","Western All-Star Fan Vote Selection","1955 Rnd 1 Pick 2","United States"
1958,"Jack Twyman","F","6-6","210","Cincinnati Royals","Western All-Star Coaches Selection","1955 Rnd 2 Pick 2","United States"
1958,"George Yardley","GF","6-5","190","Detroit Pistons","Western All-Star Fan Vote Selection","1950 Rnd 1 Pick 8","United States"
1959,"Paul Arizin","GF","6-4","190","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1950 Rnd 1 Pick 3","United States"
1959,"Larry Costello","PG","6-1","186","Syracuse Nationals","Eastern All-Star Coaches Selection","1954 Rnd 2 Pick 3","United States"
1959,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
