"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1998,"Kawhi Leonard","F","6-7","230","Toronto Raptors","Eastern All-Star Fan Vote Selection","2011 Rnd 1 Pick 15","United States"
1998,"Damian Lillard","G","6-3","195","Portland Trail Blazers","Western All-Star Coaches Selection","2012 Rnd 1 Pick 6","United States"
1998,"Ben Simmons","PF","6-10","230","Philadelphia Sixers","Eastern All-Star Coaches Selection","2016 Rnd 1 Pick 1","Australia"
1998,"Klay Thompson","G","6-7","215","Golden State Warriors","Western All-Star Coaches Selection","2011 Rnd 1 Pick 11","United States"
1998,"Karl-Anthony Towns","C","7-0","244","Minnesota Timberwolves","Western All-Star Coaches Selection","2015 Rnd 1 Pick 1","United StatesDominican Republic"
1998,"Dwyane Wade","SG","6-4","220","Miami Heat","Eastern All-Star Replacement Selection","2003 Rnd 1 Pick 5","United States"
1998,"Giannis Antetokounmpo","F","6-11","242","Milwaukee Bucks","Eastern All-Star Fan Vote Selection","2013 Rnd 1 Pick 15","GreeceNigeria"
1998,"Stephen Curry","G","6-3","190","Golden State Warriors","Western All-Star Fan Vote Selection","2009 Rnd 1 Pick 7","United States"
1998,"Joel Embiid","C","7-0","260","Philadelphia Sixers","Eastern All-Star Fan Vote Selection","2014 Rnd 1 Pick 3","Cameroon"
1998,"Paul George","GF","6-9","220","Oklahoma City Thunder","Western All-Star Fan Vote Selection","2010 Rnd 1 Pick 10","United States"
1998,"Blake Griffin","PF","6-10","250","Detroit Pistons","Eastern All-Star Coaches Selection","2009 Rnd 1 Pick 1","United States"
1998,"Nikola Jokic","C","7-0","250","Denver Nuggets","Western All-Star Coaches Selection","2014 Rnd 2 Pick 11","Serbia"
1998,"Kyle Lowry","PG","6-1","196","Toronto Raptors","Eastern All-Star Coaches Selection","2006 Rnd 1 Pick 24","United States"
1998,"Khris Middleton","SF","6-8","222","Milwaukee Bucks","Eastern All-Star Coaches Selection","2012 Rnd 2 Pick 9","United States"
